linea,estacion
Linea A,Acoyte
Linea A,Alberti
Linea A,Carabobo
Linea A,Castro Barros
Linea A,Congreso
Linea A,Lima
Linea A,Loria
Linea A,Pasco
Linea A,Peru
Linea A,Piedras
Linea A,Plaza de Mayo
Linea A,Plaza Miserere
Linea A,Primera Junta
Linea A,Puan
Linea A,Rio de Janeiro
Linea A,Saenz Peña
Linea A,Flores
Linea A,San Pedrito
Linea B,Angel Gallardo
Linea B,Callao.B
Linea B,Carlos Gardel
Linea B,Carlos Pellegrini
Linea B,Dorrego
Linea B,Echeverria
Linea B,Federico Lacroze
Linea B,Florida
Linea B,Leandro N. Alem
Linea B,Los Incas
Linea B,Malabia
Linea B,Medrano
Linea B,Pasteur
Linea B,Pueyrredon
Linea B,Rosas
Linea B,Tronador
Linea B,Uruguay
Linea C,Avenida de Mayo
Linea C,Constitucion
Linea C,Diagonal Norte
Linea C,General San Martin
Linea C,Independencia
Linea C,Lavalle
Linea C,Mariano Moreno
Linea C,Retiro
Linea C,San Juan
Linea D,9 de julio
Linea D,Agüero
Linea D,Bulnes
Linea D,Callao
Linea D,Catedral
Linea D,Congreso de Tucuman
Linea D,Facultad de Medicina
Linea D,Jose Hernandez
Linea D,Juramento
Linea D,Ministro Carranza
Linea D,Olleros
Linea D,Palermo
Linea D,Plaza Italia
Linea D,Pueyrredon.D
Linea D,Scalabrini Ortiz
Linea D,Tribunales
Linea E,Avenida La Plata
Linea E,General Belgrano
Linea E,Boedo
Linea E,Bolivar
Linea E,Catalinas
Linea E,Correo Central
Linea E,Emilio Mitre
Linea E,Entre Rios
Linea E,Independencia.H
Linea E,Jose Maria Moreno
Linea E,Jujuy
Linea E,Medalla Milagrosa
Linea E,Pichincha
Linea E,Pza. de los Virreyes
Linea E,Retiro E
Linea E,San Jose
Linea E,Urquiza
Linea E,Varela
Linea H,Caseros
Linea H,Cordoba
Linea H,Corrientes
Linea H,Facultad de Derecho
Linea H,Hospitales
Linea H,Humberto I
Linea H,Inclan
Linea H,Las Heras
Linea H,Once
Linea H,Patricios
Linea H,Santa Fe
Linea H,Venezuela